,TP53,PIK3CA,GATA3,TTN,MUC16,CSMD3,MAP3K1,MAML3,APOB,KMT2C
TP53,,27.0,2.0,15.0,8.0,4.0,2.0,4.0,4.0,2.0
PIK3CA,27.0,,2.0,10.0,2.0,2.0,6.0,3.0,3.0,2.0
GATA3,2.0,2.0,,3.0,0.0,1.0,1.0,0.0,0.0,0.0
TTN,15.0,10.0,3.0,,2.0,2.0,2.0,0.0,0.0,0.0
MUC16,8.0,2.0,0.0,2.0,,0.0,1.0,0.0,2.0,1.0
CSMD3,4.0,2.0,1.0,2.0,0.0,,1.0,0.0,1.0,0.0
MAP3K1,2.0,6.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0
MAML3,4.0,3.0,0.0,0.0,0.0,0.0,2.0,,1.0,0.0
APOB,4.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,,0.0
KMT2C,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,
