,0
PTPRT,2
BICC1,2
BARD1,2
BAX,2
RGAG1,2
RGS7BP,2
REV3L,2
RBMXL3,2
RB1,2
RB1CC1,2
RASA1,2
RASA2,2
RASAL2,2
RASGRF1,2
B4GALNT4,2
PTPN22,2
PTPN5,2
PTPRC,2
PSMA5,2
PSMD9,2
RASGRP3,2
RASGRP4,2
RAG2,2
RAI2,2
RANBP10,2
RANBP2,2
RAP1GAP2,2
RAD51AP2,2
RAD54B,2
PXDNL,2
PTPRN2,2
BIN2,2
BLK,2
BLM,2
SLC25A23,2
SLC17A3,2
SLC1A6,2
SLC1A7,2
SIPA1L3,2
SKIDA1,2
SLC13A1,2
ASXL3,2
ARHGEF28,2
SLC9A7,2
PTCH1,2
PTCHD4,2
PTPN13,2
PPP4R4,2
PPP6R2,2
PRB2,2
PPIL2,2
PPP1R10,2
BMP15,2
BMPR2,2
BOC,2
PRR12,2
PRR14L,2
PRKCH,2
PRPF19,2
PRDM16,2
PRDX6,2
PREX2,2
BICD2,2
PNKD,2
PODN,2
PLEKHH2,2
PLS3,2
PLCB1,2
PLCH2,2
PLCL2,2
BRDT,2
BRINP3,2
BRWD1,2
BTAF1,2
PPP1R3A,2
PPP2R2A,2
PPP2R3A,2
PPP2R5D,2
PPP3CB,2
C10orf71,2
C11orf80,2
SLIT2,2
SLC4A11,2
SLC35A2,2
SLC35F5,2
SLC37A2,2
SLC44A5,2
SLC47A1,2
ARMCX4,2
SLC26A7,2
ARHGAP31,2
ARHGAP36,2
PPARD,2
PODXL2,2
POLR2H,2
PEG3,2
PLEK,2
PLEKHG1,2
C12orf55,2
C15orf52,2
PKDREJ,2
PLB1,2
PIK3CB,2
PIK3R1,2
PKD1L1,2
PI16,2
PIBF1,2
PIEZO2,2
PIGK,2
PPP1R12B,2
C10orf126,2
PCNXL2,2
PCDHA5,2
PCDHA8,2
PBRM1,2
PCCA,2
PCDH10,2
PCDH17,2
C2orf83,2
C1QBP,2
C1S,2
C1orf141,2
PHEX,2
PHF14,2
PHLPP1,2
PHOX2A,2
C2CD3,2
PEPD,2
PDP1,2
SOGA2,2
SORL1,2
SOS1,2
SMEK2,2
SMTN,2
SLITRK3,2
SLITRK4,2
SMARCA1,2
SMARCAL1,2
ARHGEF17,2
AREL1,2
SRBD1,2
SPHKAP,2
SPIDR,2
C9orf84,2
C9orf96,2
C4BPB,2
C4orf21,2
C5orf42,2
C6,2
PARP9,2
PAPD4,2
OTOGL,2
OTUD7B,2
P2RX2,2
OSBPL5,2
OSMR,2
C6orf47,2
OR52J3,2
PELI2,2
NRG1,2
NPAP1,2
NPDC1,2
CACNA1D,2
OR5M10,2
OR5W2,2
OR1M1,2
OR2M2,2
OR14I1,2
OGDH,2
OPA1,2
OPHN1,2
OR10A4,2
OR10G3,2
OCRL,2
OCSTAMP,2
NUDT7,2
NUFIP2,2
NUP85,2
NUP98,2
SPRYD3,2
SPESP1,2
SOX5,2
ARFGEF2,2
AP4B1,2
AP5B1,2
APCDD1,2
APEH,2
STAG3,2
NVL,2
NPR3,2
NR0B1,2
CAPSL,2
CASC1,2
CASK,2
CACNA1G,2
CACNA1I,2
CACNG3,2
CALB2,2
NOP14,2
NOS3,2
NLGN3,2
NLRP10,2
NLRP11,2
NLRP13,2
NLRP14,2
NLRP4,2
CAMK2D,2
NIPBL,2
STAT1,2
STIL,2
STIM2,2
SSPN,2
ST6GAL2,2
ST6GALNAC1,2
APLNR,2
TAF7L,2
TAP1,2
TARBP1,2
SYT1,2
NEO1,2
NFE2L3,2
NFKBIL1,2
NEK1,2
MYPN,2
MYH7B,2
MYH8,2
MYH9,2
CASR,2
CASS4,2
NCAN,2
NCKAP1L,2
NAT10,2
NAV1,2
NAV3,2
NBEAL1,2
NBPF10,2
CCAR1,2
CAP2,2
NID1,2
NAAA,2
NALCN,2
NAPRT1,2
TACC1,2
TAF2,2
TAF4,2
SULF1,2
SUPT3H,2
SUPT6H,2
SUV39H1,2
TENM4,2
TERT,2
TEX11,2
MYO7B,2
MYO9A,2
MYOC,2
MTARC1,2
MTHFD1L,2
MROH9,2
MMS19,2
MORC1,2
MORC4,2
MYO18A,2
CCDC129,2
CCDC160,2
CCDC168,2
CCDC175,2
MYCBP2,2
MUC1,2
MUC12,2
MUC19,2
CCDC104,2
MEP1A,2
METTL15,2
MELK,2
MUL1,2
